smi,name,subclass,T_C,tmax,log_tmax,k_f,k_d,censored,model,q_C,d_LiC,%Vbur,BDE,Gsolv,HOMO,eta,fukui,B1,B5,L,vol,dipole,q_Li
[Li]CSCc1ccccc1,lithium carbenoid,other,-78.0,0.020157019351369827,-1.6955736872540992,555.805,,True,formation_only,-0.223,1.9412,0.3142,370.4,-68.34,-8.444,2.2190000000000003,0.0127,1.82,8.8104,4.6735,168.01,5.300000000000001,0.4641
[Li]CSCc1ccccc1,lithium carbenoid,other,-60.0,0.014433364163494368,-1.8406324306973931,801.58,,True,formation_only,-0.223,1.9412,0.3142,370.4,-68.34,-8.444,2.2190000000000003,0.0127,1.82,8.8104,4.6735,168.01,5.300000000000001,0.4641
[Li]CSCc1ccccc1,lithium carbenoid,other,-40.0,0.00634682,-2.19744381838925,1776.41,0.0225487,False,competing,-0.223,1.9412,0.3142,370.4,-68.34,-8.444,2.2190000000000003,0.0127,1.82,8.8104,4.6735,168.01,5.300000000000001,0.4641
[Li]CSCc1ccccc1,lithium carbenoid,other,-20.0,0.000918553,-3.0368957800838383,11585.8,0.276831,False,competing,-0.223,1.9412,0.3142,370.4,-68.34,-8.444,2.2190000000000003,0.0127,1.82,8.8104,4.6735,168.01,5.300000000000001,0.4641
[Li]Cc1ccc(C(=O)CC)cc1,p-propanoylbenzyllithium,other,-78.0,0.000104742,-3.979879137703283,148517.0,0.026054,False,competing,-0.253,1.9742,0.3144,361.2000000000001,-83.09,-8.918000000000001,2.1060000000000008,-0.0572,1.82,9.8095,4.1942,187.87,7.335,0.4906
[Li]Cc1ccc(C(=O)CC)cc1,p-propanoylbenzyllithium,other,-60.0,0.000100405,-3.9982446595182823,155402.0,0.0260086,False,competing,-0.253,1.9742,0.3144,361.2000000000001,-83.09,-8.918000000000001,2.1060000000000008,-0.0572,1.82,9.8095,4.1942,187.87,7.335,0.4906
[Li]Cc1ccc(C(=O)CC)cc1,p-propanoylbenzyllithium,other,-40.0,0.000620943,-3.206948264431515,21919.5,0.0269001,False,competing,-0.253,1.9742,0.3144,361.2000000000001,-83.09,-8.918000000000001,2.1060000000000008,-0.0572,1.82,9.8095,4.1942,187.87,7.335,0.4906
[Li]Cc1ccc(C(=O)CC)cc1,p-propanoylbenzyllithium,other,-20.0,0.000110617,-3.95617812403638,138003.0,0.0323718,False,competing,-0.253,1.9742,0.3144,361.2000000000001,-83.09,-8.918000000000001,2.1060000000000008,-0.0572,1.82,9.8095,4.1942,187.87,7.335,0.4906
[Li]Cc1ccc(C(=O)CC)cc1,p-propanoylbenzyllithium,other,0.0,0.000185577,-3.7314758502726058,77753.0,0.0420919,False,competing,-0.253,1.9742,0.3144,361.2000000000001,-83.09,-8.918000000000001,2.1060000000000008,-0.0572,1.82,9.8095,4.1942,187.87,7.335,0.4906
[Li]Cc1ccc(C=O)cc1,p-formylbenzyllithium,other,-78.0,0.000260445,-3.5842839756981806,57093.8,0.0198936,False,competing,-0.2499,1.9785,0.3163,363.5,-78.10000000000001,-9.094,2.0599999999999996,-0.0616,1.82,7.8537,4.1985,154.14,8.455,0.5015000000000001
